time,H,R,E,F,A
2019/5/9 11:08,0.0,0.0,1.0,0.0,2.231
2019/5/9 11:09,0.0,0.0,1.0,0.0,1.7990000000000002
2019/5/9 11:11,0.0,0.0,0.0,1.0,0.914
2019/5/9 11:12,0.0,0.0,0.0,1.0,1.61
2019/5/9 11:13,0.0,0.0,0.0,1.0,1.349
2019/5/9 11:14,0.0,0.0,0.0,1.0,1.3130000000000002
2019/5/9 11:15,0.0,0.0,0.0,1.0,1.208
2019/5/9 11:16,0.0,0.0,0.0,1.0,1.044
2019/5/9 11:17,0.0,0.0,0.0,1.0,1.078
2019/5/9 11:29,0.0,0.0,1.0,0.0,0.902
2019/5/9 11:30,0.0,0.0,1.0,0.0,0.9309999999999999
2019/5/9 13:01,0.0,0.0,1.0,0.0,1.0390000000000001
2019/5/9 13:02,0.0,0.0,1.0,0.0,1.254
2019/5/9 13:03,0.0,0.0,1.0,0.0,0.986
2019/5/9 13:04,0.0,0.0,1.0,0.0,0.85
2019/5/9 13:05,0.0,0.0,1.0,0.0,1.202
2019/5/9 13:06,0.0,0.0,1.0,0.0,1.209
2019/5/9 13:11,0.0,0.0,0.0,1.0,2.614
2019/5/9 13:12,0.0,0.0,0.0,1.0,1.5090000000000001
2019/5/9 13:13,0.0,0.0,0.0,1.0,1.2690000000000001
2019/5/9 13:14,1.0,1.0,0.0,1.0,1.2570000000000001
2019/5/9 13:15,1.0,1.0,0.0,1.0,1.355
2019/5/9 13:16,0.0,0.0,0.0,1.0,1.161
2019/5/9 13:17,0.0,0.0,0.0,1.0,1.0659999999999998
2019/5/9 13:18,0.0,0.0,0.0,1.0,1.082
2019/5/9 13:19,0.0,0.0,0.0,1.0,1.1540000000000001
2019/5/9 13:20,0.0,0.0,0.0,1.0,1.145
2019/5/9 13:22,0.0,0.0,0.0,1.0,0.877
2019/5/9 13:25,0.0,0.0,1.0,0.0,4.766
2019/5/9 13:26,0.0,0.0,1.0,0.0,1.7830000000000001
2019/5/9 13:27,0.0,0.0,1.0,0.0,1.4980000000000002
2019/5/9 13:28,0.0,0.0,1.0,0.0,1.308
2019/5/9 13:29,0.0,0.0,1.0,0.0,1.081
2019/5/9 13:30,9.0,9.0,1.0,0.0,1.003
2019/5/9 13:31,0.0,0.0,1.0,0.0,1.248
2019/5/9 13:32,0.0,0.0,1.0,0.0,1.1179999999999999
2019/5/9 13:33,0.0,0.0,1.0,0.0,1.2670000000000001
2019/5/9 13:34,0.0,0.0,1.0,0.0,1.153
2019/5/9 13:35,0.0,0.0,1.0,0.0,1.433
2019/5/9 13:36,0.0,0.0,1.0,0.0,1.6230000000000002
2019/5/9 13:37,0.0,0.0,1.0,0.0,1.4
2019/5/9 13:42,0.0,0.0,0.0,1.0,1.15
2019/5/9 13:43,0.0,0.0,0.0,1.0,1.068
2019/5/9 13:44,0.0,0.0,0.0,1.0,0.866
2019/5/9 13:48,0.0,0.0,1.0,0.0,0.847
2019/5/9 13:49,0.0,0.0,1.0,0.0,1.0390000000000001
2019/5/9 13:50,0.0,0.0,0.0,1.0,2.1959999999999997
2019/5/9 13:51,0.0,0.0,0.0,1.0,1.262
2019/5/9 13:52,0.0,0.0,0.0,1.0,1.3230000000000002
2019/5/9 13:54,0.0,0.0,0.0,1.0,1.0590000000000002
2019/5/9 13:55,0.0,0.0,0.0,1.0,1.349
2019/5/9 13:56,0.0,0.0,1.0,0.0,1.7280000000000002
2019/5/9 13:57,0.0,0.0,1.0,0.0,1.439
2019/5/9 13:58,0.0,0.0,1.0,0.0,1.1640000000000001
2019/5/9 14:01,0.0,0.0,0.0,1.0,0.912
2019/5/9 14:04,0.0,0.0,1.0,0.0,2.695
2019/5/9 14:06,0.0,0.0,1.0,0.0,1.07
2019/5/9 14:07,0.0,0.0,1.0,0.0,0.92
2019/5/9 14:08,0.0,0.0,1.0,0.0,0.8140000000000001
2019/5/9 14:12,0.0,0.0,0.0,1.0,9.765
2019/5/9 14:13,0.0,0.0,0.0,1.0,1.6540000000000001
2019/5/9 14:14,0.0,0.0,0.0,1.0,1.9580000000000002
2019/5/9 14:15,0.0,0.0,1.0,0.0,1.1740000000000002
2019/5/9 14:19,0.0,0.0,1.0,0.0,0.82
2019/5/9 14:23,0.0,0.0,1.0,0.0,0.833
2019/5/9 14:24,0.0,0.0,1.0,0.0,1.018
2019/5/9 14:27,0.0,0.0,1.0,0.0,1.459
2019/5/9 14:28,0.0,0.0,1.0,0.0,1.163
2019/5/9 14:29,0.0,0.0,1.0,0.0,0.9740000000000001
2019/5/9 14:36,0.0,0.0,1.0,0.0,2.574
2019/5/9 14:37,0.0,0.0,1.0,0.0,1.0859999999999999
2019/5/9 14:38,0.0,0.0,1.0,0.0,0.93
2019/5/9 14:39,0.0,0.0,1.0,0.0,0.88
2019/5/9 14:40,0.0,0.0,1.0,0.0,0.8390000000000001
2019/5/9 14:41,0.0,0.0,1.0,0.0,0.87
2019/5/9 14:44,0.0,0.0,1.0,0.0,1.088
2019/5/9 14:45,0.0,0.0,1.0,0.0,0.9440000000000001
2019/5/9 14:50,0.0,0.0,0.0,1.0,0.877
2019/5/9 14:51,0.0,0.0,0.0,1.0,0.862
2019/5/10 9:31,0.0,0.0,0.0,1.0,1.0490000000000002
